,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
6896,2600,1980,Misc,Atari,0.22,0.01,0.0,0.0,0.24
2669,2600,1980,Fighting,Activision,0.72,0.04,0.0,0.01,0.77
258,2600,1980,Shooter,Atari,4.0,0.26,0.0,0.05,4.31
1766,2600,1980,Misc,Activision,1.07,0.07,0.0,0.01,1.15
5366,2600,1980,Action,Activision,0.32,0.02,0.0,0.0,0.34
4025,2600,1980,Sports,Activision,0.46,0.03,0.0,0.01,0.49
1969,2600,1980,Misc,Atari,0.99,0.05,0.0,0.01,1.05
544,2600,1980,Shooter,Atari,2.56,0.17,0.0,0.03,2.76
6317,2600,1980,Misc,Activision,0.25,0.02,0.0,0.0,0.27
4784,2600,1981,Action,Coleco,0.38,0.02,0.0,0.0,0.4
5127,2600,1981,Action,Imagic,0.35,0.02,0.0,0.0,0.37
4139,2600,1981,Racing,Activision,0.45,0.03,0.0,0.0,0.48
7904,2600,1981,Sports,Mattel Interactive,0.18,0.01,0.0,0.0,0.19
5389,2600,1981,Action,20th Century Fox Video Games,0.32,0.02,0.0,0.0,0.34
3408,2600,1981,Action,Coleco,0.55,0.03,0.0,0.01,0.59
3403,2600,1981,Puzzle,Mattel Interactive,0.55,0.03,0.0,0.01,0.59
5800,2600,1981,Action,Mattel Interactive,0.29,0.02,0.0,0.0,0.31
734,2600,1981,Action,Parker Bros.,2.06,0.12,0.0,0.02,2.2
6021,2600,1981,Action,Unknown,0.27,0.02,0.0,0.0,0.29
5564,2600,1981,Action,Starpath Corp.,0.3,0.02,0.0,0.0,0.33
239,2600,1981,Platform,Activision,4.21,0.24,0.0,0.05,4.5
2516,2600,1981,Action,Mystique,0.76,0.05,0.0,0.01,0.82
4015,2600,1981,Action,Atari,0.46,0.03,0.0,0.01,0.5
5400,2600,1981,Shooter,Coleco,0.32,0.02,0.0,0.0,0.34
7371,2600,1981,Sports,Atari,0.2,0.01,0.0,0.0,0.21
4908,2600,1981,Action,Activision,0.37,0.02,0.0,0.0,0.39
2143,2600,1981,Platform,Atari,0.9,0.05,0.0,0.01,0.97
1429,2600,1981,Shooter,Atari,1.26,0.08,0.0,0.01,1.36
1965,2600,1981,Shooter,Imagic,0.99,0.05,0.0,0.01,1.05
766,2600,1981,Shooter,Imagic,1.99,0.12,0.0,0.02,2.13
8459,2600,1981,Action,Mattel Interactive,0.15,0.01,0.0,0.0,0.17
6866,2600,1981,Action,Taito,0.22,0.01,0.0,0.0,0.24
864,2600,1981,Action,Atari,1.84,0.11,0.0,0.02,1.97
7184,2600,1981,Action,Atari,0.21,0.01,0.0,0.0,0.22
5246,2600,1981,Action,Mattel Interactive,0.33,0.02,0.0,0.0,0.36
7150,2600,1981,Action,Parker Bros.,0.21,0.01,0.0,0.0,0.22
2232,2600,1981,Action,Parker Bros.,0.87,0.05,0.0,0.01,0.93
4967,2600,1981,Action,Data Age,0.36,0.02,0.0,0.0,0.39
1153,2600,1981,Shooter,Activision,1.49,0.09,0.0,0.02,1.6
4346,2600,1981,Simulation,Atari,0.42,0.02,0.0,0.0,0.45
1848,2600,1981,Shooter,Activision,1.03,0.06,0.0,0.01,1.1
1106,2600,1981,Puzzle,Atari,1.54,0.1,0.0,0.02,1.65
1306,2600,1981,Platform,Coleco,1.36,0.08,0.0,0.02,1.46
4402,2600,1981,Action,Tigervision,0.42,0.03,0.0,0.0,0.45
2596,2600,1981,Action,20th Century Fox Video Games,0.74,0.04,0.0,0.01,0.79
2940,2600,1981,Action,Tigervision,0.65,0.04,0.0,0.01,0.69
9495,2600,1981,Sports,Atari,0.12,0.01,0.0,0.0,0.13
1556,2600,1981,Shooter,Imagic,1.18,0.08,0.0,0.01,1.27
7148,2600,1981,Shooter,20th Century Fox Video Games,0.21,0.01,0.0,0.0,0.22
4517,2600,1981,Action,Activision,0.4,0.02,0.0,0.0,0.43
6940,2600,1981,Shooter,Mattel Interactive,0.22,0.01,0.0,0.0,0.24
2806,2600,1981,Shooter,Atari,0.68,0.04,0.0,0.01,0.73
3044,2600,1981,Action,Mattel Interactive,0.63,0.03,0.0,0.01,0.67
2664,2600,1981,Action,Men-A-Vision,0.72,0.04,0.0,0.01,0.77
6537,2600,1981,Sports,Atari,0.24,0.01,0.0,0.0,0.26
4016,2600,1982,Action,Answer Software,0.46,0.03,0.0,0.01,0.5
4801,2600,1982,Action,Sega,0.37,0.02,0.0,0.0,0.4
5381,2600,1982,Action,ITT Family Games,0.32,0.02,0.0,0.0,0.34
2843,2600,1982,Platform,Atari,0.67,0.04,0.0,0.01,0.72
4894,2600,1982,Racing,Mattel Interactive,0.37,0.02,0.0,0.0,0.39
2406,2600,1982,Misc,Quelle,0.81,0.05,0.0,0.01,0.87
7149,2600,1982,Action,Bomb,0.21,0.01,0.0,0.0,0.22
4013,2600,1982,Sports,Atari,0.46,0.03,0.0,0.01,0.5
5773,2600,1982,Action,CBS Electronics,0.29,0.02,0.0,0.0,0.31
89,2600,1982,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81
5658,2600,1982,Action,Data Age,0.3,0.02,0.0,0.0,0.32
3716,2600,1982,Action,CPG Products,0.5,0.03,0.0,0.01,0.54
3215,2600,1982,Action,Universal Gamex,0.58,0.04,0.0,0.01,0.63
6728,2600,1982,Action,20th Century Fox Video Games,0.23,0.01,0.0,0.0,0.25
3643,2600,1982,Sports,Activision,0.52,0.03,0.0,0.01,0.55
3079,2600,1982,Action,Activision,0.62,0.04,0.0,0.01,0.66
5395,2600,1982,Action,20th Century Fox Video Games,0.32,0.02,0.0,0.0,0.34
3748,2600,1982,Platform,Parker Bros.,0.5,0.03,0.0,0.01,0.54
1817,2600,1982,Shooter,Atari,1.05,0.06,0.0,0.01,1.12
6145,2600,1982,Action,Tigervision,0.26,0.02,0.0,0.0,0.28
1115,2600,1982,Puzzle,Atari,1.52,0.1,0.0,0.02,1.64
5064,2600,1982,Action,Atari,0.35,0.02,0.0,0.0,0.38
3447,2600,1982,Puzzle,Parker Bros.,0.55,0.03,0.0,0.01,0.58
2660,2600,1982,Shooter,Atari,0.72,0.05,0.0,0.01,0.77
3266,2600,1982,Action,Wizard Video Games,0.58,0.03,0.0,0.01,0.62
3248,2600,1982,Shooter,Atari,0.58,0.03,0.0,0.01,0.62
6265,2600,1982,Action,Coleco,0.26,0.02,0.0,0.0,0.27
3966,2600,1982,Shooter,Activision,0.47,0.03,0.0,0.01,0.5
8458,2600,1982,Action,Avalon Interactive,0.15,0.01,0.0,0.0,0.17
1705,2600,1982,Racing,Atari,1.1,0.07,0.0,0.01,1.18
9106,2600,1982,Action,Atari,0.13,0.01,0.0,0.0,0.14
1905,2600,1982,Platform,Atari,1.01,0.06,0.0,0.01,1.08
1851,2600,1982,Platform,Atari,1.03,0.06,0.0,0.01,1.1
8758,2600,1982,Action,Activision,0.14,0.01,0.0,0.0,0.15
2629,2600,1982,Shooter,Atari,0.73,0.04,0.0,0.01,0.78
1163,2600,1982,Platform,Atari,1.48,0.09,0.0,0.02,1.59
421,NES,1983,Sports,Nintendo,0.73,0.1,2.35,0.02,3.2
2652,2600,1983,Puzzle,Atari,0.72,0.05,0.0,0.01,0.78
700,NES,1983,Platform,Nintendo,0.51,0.12,1.63,0.02,2.28
4096,2600,1983,Shooter,Atari,0.45,0.03,0.0,0.01,0.48
1839,NES,1983,Platform,Nintendo,0.33,0.07,0.7,0.01,1.11
4780,2600,1983,Adventure,Atari,0.38,0.02,0.0,0.0,0.4
8457,2600,1983,Action,Parker Bros.,0.15,0.01,0.0,0.0,0.17
1809,NES,1983,Platform,Nintendo,0.23,0.05,0.84,0.01,1.13
2672,2600,1983,Action,Atari,0.72,0.04,0.0,0.01,0.77
