,Platform,Year,Global_Sales
0,2600,1980,11.379999999999999
1,2600,1981,35.77
2,2600,1982,28.86
3,2600,1983,5.83
4,2600,1984,0.27
5,2600,1985,0.45
6,2600,1986,0.6599999999999999
7,2600,1987,1.98
8,2600,1988,0.75
9,2600,1989,0.62
10,2600,1996,0.15
11,2600,1998,0.98
12,2600,2001,0.31
13,2600,2002,0.78
14,2600,2003,0.44
15,2600,2004,1.3
16,2600,2006,0.27
17,2600,2008,4.2299999999999995
18,2600,2010,0.65
19,2600,2013,0.51
20,2600,2014,0.42
21,2600,2015,0.47
22,3DO,1994,0.02
23,3DO,1995,0.08
24,3DS,1997,0.19
25,3DS,2005,0.07
26,3DS,2008,0.71
27,3DS,2009,0.08
28,3DS,2010,0.11
29,3DS,2011,62.53
30,3DS,2012,51.14
31,3DS,2013,55.88
32,3DS,2014,43.13
33,3DS,2015,26.99
34,3DS,2016,6.6000000000000005
35,DC,1998,3.39
36,DC,1999,5.17
37,DC,2000,5.99
38,DC,2001,1.07
39,DC,2002,0.29
40,DC,2007,0.02
41,DC,2008,0.04
42,DS,1985,0.02
43,DS,1997,0.02
44,DS,1998,0.33
45,DS,1999,0.13
46,DS,2001,0.36
47,DS,2003,0.15
48,DS,2004,17.46
49,DS,2005,132.12
50,DS,2006,121.22
51,DS,2007,149.84
52,DS,2008,148.04
53,DS,2009,122.65
54,DS,2010,88.1
55,DS,2011,27.82
56,DS,2012,11.59
57,DS,2013,1.96
58,DS,2014,0.09000000000000001
59,DS,2020,0.29
60,GB,1988,1.43
61,GB,1989,64.98
62,GB,1990,4.89
63,GB,1991,5.57
64,GB,1992,25.48
65,GB,1994,12.17
66,GB,1995,3.5999999999999996
67,GB,1996,36.02
68,GB,1997,6.37
69,GB,1998,26.900000000000002
70,GB,1999,38.01
71,GB,2000,19.76
72,GB,2001,9.24
73,GB,2003,1.03
74,GBA,1996,0.14
75,GBA,1997,2.75
76,GBA,2000,0.06
77,GBA,2001,61.62
78,GBA,2002,75.29
79,GBA,2003,56.730000000000004
80,GBA,2004,72.79
81,GBA,2005,32.47
82,GBA,2006,5.43
83,GBA,2007,2.22
84,GBA,2008,0.03
85,GBA,2010,0.76
86,GC,2000,0.11
87,GC,2001,26.3
88,GC,2002,51.94
89,GC,2003,50.7
90,GC,2004,28.89
91,GC,2005,28.1
92,GC,2006,11.290000000000001
