,Year,Platform,Global_Sales
161,2004,PS2,212.73
221,2009,Wii,210.74
142,2002,PS2,207.43
152,2003,PS2,184.61
212,2008,Wii,174.2
234,2010,X360,172.24
92,1998,PS,169.58
129,2001,PS2,166.43
172,2005,PS2,160.8
241,2011,PS3,159.51
198,2007,Wii,157.3
189,2007,DS,149.84
204,2008,DS,148.04
231,2010,PS3,146.39
245,2011,X360,145.31
101,1999,PS,144.57
233,2010,Wii,140.37
185,2006,Wii,138.92
213,2008,X360,138.5
81,1997,PS,136.24
219,2009,PS3,132.7
168,2005,DS,132.12
216,2009,DS,122.65
178,2006,DS,121.22
222,2009,X360,121.08
210,2008,PS3,120.51
264,2013,PS3,117.51
291,2015,PS4,115.3
251,2012,PS3,109.53999999999999
182,2006,PS2,106.95
256,2012,X360,103.56
279,2014,PS4,98.76
199,2007,X360,96.72
113,2000,PS,96.28
71,1996,PS,94.68
270,2013,X360,89.61
226,2010,DS,88.10000000000001
195,2007,PS2,76.34
137,2002,GBA,75.29
196,2007,PS3,74.84
158,2004,GBA,72.79
166,2004,XB,65.5
20,1989,GB,64.98
244,2011,Wii,62.65
236,2011,3DS,62.53
124,2001,GBA,61.62
99,1999,N64,57.96
298,2015,XOne,57.66
148,2003,GBA,56.730000000000004
184,2006,PSP,55.89
259,2013,3DS,55.88
155,2003,XB,55.65
209,2008,PS2,54.66
9,1985,NES,53.440000000000005
286,2014,XOne,52.43
186,2006,X360,52.17
138,2002,GC,51.94
247,2012,3DS,51.14
278,2014,PS3,50.96
149,2003,GC,50.7
6,1984,NES,50.089999999999996
90,1998,N64,49.28
176,2005,XB,49.17
144,2002,XB,48.21
197,2007,PSP,47.51
17,1988,NES,45.010000000000005
173,2005,PSP,44.230000000000004
273,2014,3DS,43.13
41,1993,SNES,40.010000000000005
79,1997,N64,39.51
114,2000,PS2,39.38
303,2016,PS4,39.25
220,2009,PSP,38.37
98,1999,GB,38.010000000000005
284,2014,X360,36.41
12,1986,NES,36.41
65,1996,GB,36.02
58,1995,PS,35.92
1,1981,2600,35.77
128,2001,PS,35.52
211,2008,PSP,35.51
239,2011,PC,35.27
232,2010,PSP,35.11
52,1994,SNES,35.08
111,2000,N64,34.21
67,1996,N64,34.11
36,1992,SNES,32.98
169,2005,GBA,32.47
60,1995,SNES,32.21
159,2004,GC,28.89
2,1982,2600,28.86
170,2005,GC,28.1
237,2011,DS,27.82
218,2009,PS2,27.35
288,2015,3DS,26.99
89,1998,GB,26.9
125,2001,GC,26.3
25,1990,SNES,26.16
31,1992,GB,25.48
265,2013,PS4,24.76
229,2010,PC,24.3
250,2012,PC,23.75
254,2012,Wii,22.939999999999998
283,2014,WiiU,22.509999999999998
134,2001,XB,22.37
183,2006,PS3,22.04
269,2013,WiiU,21.84
108,2000,GB,19.76
14,1987,NES,19.759999999999998
271,2013,XOne,18.6
253,2012,PSV,18.53
242,2011,PSP,18.28
290,2015,PS3,18.22
255,2012,WiiU,17.84
157,2004,DS,17.46
217,2009,PC,17.2
295,2015,WiiU,16.38
29,1991,SNES,16.21
74,1996,SNES,15.93
24,1990,NES,15.739999999999998
281,2014,PSV,14.74
276,2014,PC,13.42
262,2013,PC,13.36
296,2015,X360,13.05
47,1994,PC,13.05
208,2008,PC,12.91
267,2013,PSV,12.69
32,1992,GEN,12.66
309,2016,XOne,12.37
