,Publisher,Year,Genre,Global_Sales
5957,Ubisoft,2020,Simulation,0.29
14390,Sega,2017,Role-Playing,0.03
221,Electronic Arts,2016,Sports,4.77
33,Activision,2015,Shooter,14.24
44,Take-Two Interactive,2014,Action,11.98
16,Take-Two Interactive,2013,Action,21.4
34,Activision,2012,Shooter,14.03
29,Activision,2011,Shooter,14.76
15,Microsoft Game Studios,2010,Misc,21.82
3,Nintendo,2009,Sports,33.0
2,Nintendo,2008,Racing,35.82
13,Nintendo,2007,Sports,22.72
0,Nintendo,2006,Sports,82.74
10,Nintendo,2005,Simulation,24.76
17,Take-Two Interactive,2004,Action,20.81
104,Electronic Arts,2003,Racing,7.2
24,Take-Two Interactive,2002,Action,16.15
28,Sony Computer Entertainment,2001,Racing,14.98
132,Nintendo,2000,Role-Playing,6.39
12,Nintendo,1999,Role-Playing,23.1
30,Nintendo,1998,Role-Playing,14.64
52,Sony Computer Entertainment,1997,Racing,10.95
4,Nintendo,1996,Role-Playing,31.37
187,Nintendo,1995,Platform,5.15
71,Nintendo,1994,Platform,9.3
57,Nintendo,1993,Platform,10.55
50,Nintendo,1992,Adventure,11.18
231,Nintendo,1991,Action,4.61
18,Nintendo,1990,Platform,20.61
5,Nintendo,1989,Puzzle,30.26
22,Nintendo,1988,Platform,17.28
251,Nintendo,1987,Adventure,4.38
127,Nintendo,1986,Action,6.51
1,Nintendo,1985,Platform,40.24
9,Nintendo,1984,Shooter,28.31
421,Nintendo,1983,Sports,3.2
89,Atari,1982,Puzzle,7.81
239,Activision,1981,Platform,4.5
258,Atari,1980,Shooter,4.31
