,Publisher,Year,Global_Sales
2176,Ubisoft,2020,0.29
1803,Sega,2017,0.04
673,Electronic Arts,2016,12.25
672,Electronic Arts,2015,45.42
1516,Nintendo,2014,48.65
670,Electronic Arts,2013,52.92
1514,Nintendo,2012,56.47
668,Electronic Arts,2011,72.25
667,Electronic Arts,2010,84.13
1511,Nintendo,2009,129.52
1510,Nintendo,2008,91.55
1509,Nintendo,2007,104.2
1508,Nintendo,2006,205.60999999999999
1507,Nintendo,2005,127.55
661,Electronic Arts,2004,67.33
660,Electronic Arts,2003,69.83
659,Electronic Arts,2002,73.01
1503,Nintendo,2001,45.37
1502,Nintendo,2000,34.05
1501,Nintendo,1999,65.33
1500,Nintendo,1998,48.410000000000004
1823,Sony Computer Entertainment,1997,43.9
1498,Nintendo,1996,73.7
1821,Sony Computer Entertainment,1995,18.45
1496,Nintendo,1994,25.03
1495,Nintendo,1993,20.04
1494,Nintendo,1992,38.11
1493,Nintendo,1991,15.97
1492,Nintendo,1990,35.49
1491,Nintendo,1989,63.88
1490,Nintendo,1988,36.44
1489,Nintendo,1987,11.95
1488,Nintendo,1986,16.18
1487,Nintendo,1985,49.95
1486,Nintendo,1984,45.559999999999995
1485,Nintendo,1983,10.96
227,Atari,1982,19.43
91,Activision,1981,8.5
225,Atari,1980,8.36
