,Publisher,Year,Global_Sales
672,Electronic Arts,2015,45.42
120,Activision,2015,35.63
1517,Nintendo,2015,27.080000000000002
2288,Warner Bros. Interactive Entertainment,2015,21.740000000000002
334,Bethesda Softworks,2015,16.44
1451,Namco Bandai Games,2015,15.57
2052,Take-Two Interactive,2015,15.03
2174,Ubisoft,2015,12.79
1841,Sony Computer Entertainment,2015,11.01
1343,Microsoft Game Studios,2015,9.95
1893,Square Enix,2015,8.86
1169,Konami Digital Entertainment,2015,6.859999999999999
412,Capcom,2015,5.64
1393,Mojang,2015,2.89
614,Disney Interactive Studios,2015,2.48
1187,Level 5,2015,2.3099999999999996
2083,Tecmo Koei,2015,2.2600000000000002
1849,Sony Computer Entertainment Europe,2015,1.64
1801,Sega,2015,1.55
1535,Nippon Ichi Software,2015,1.47
1138,Koch Media,2015,1.45
1812,Slightly Mad Studios,2015,1.3800000000000001
2209,Unknown,2015,1.02
580,Deep Silver,2015,1.01
461,Codemasters,2015,0.9500000000000001
2352,"mixi, Inc",2015,0.86
344,Bigben Interactive,2015,0.84
905,Harmonix Music Systems,2015,0.8
1373,Milestone S.r.l.,2015,0.73
1198,Little Orbit,2015,0.7000000000000001
1555,Nordic Games,2015,0.62
27,505 Games,2015,0.61
1594,PQube,2015,0.52
784,FuRyu,2015,0.52
2181,Ultravision,2015,0.47
1267,Marvelous Interactive,2015,0.44
1119,Kalypso Media,2015,0.42
2093,Telltale Games,2015,0.39
271,Atlus,2015,0.38
757,Focus Home Interactive,2015,0.36000000000000004
2313,Yacht Club Games,2015,0.32
1691,Rebellion Developments,2015,0.30000000000000004
985,Idea Factory,2015,0.29
2141,Tru Blu Entertainment,2015,0.25
178,Aqua Plus,2015,0.23
989,Idea Factory International,2015,0.23
36,5pb,2015,0.22
1253,Marvelous Entertainment,2015,0.22
538,D3Publisher,2015,0.21000000000000002
1483,Nihon Falcom Corporation,2015,0.15
1614,Paradox Interactive,2015,0.14
1523,Nippon Columbia,2015,0.14
1110,Kaga Create,2015,0.13
145,Aksys Games,2015,0.12
483,Compile Heart,2015,0.11
2033,Takara Tomy,2015,0.11
371,Broccoli,2015,0.1
2351,inXile Entertainment,2015,0.1
1983,TGL,2015,0.09
1724,Rocket Company,2015,0.09
1091,Kadokawa Games,2015,0.09
187,Arc System Works,2015,0.09
2345,dramatic create,2015,0.08
157,Alchemist,2015,0.08
1108,Kadokawa Shoten,2015,0.07
1772,Screenlife,2015,0.07
1703,Revolution Software,2015,0.06999999999999999
2291,WayForward Technologies,2015,0.05
2312,Xseed Games,2015,0.05
1249,Marvel Entertainment,2015,0.05
287,Avanquest Software,2015,0.04
733,Experience Inc.,2015,0.04
524,Cygames,2015,0.03
1028,Intergrow,2015,0.03
735,Extreme Entertainment Group,2015,0.03
966,HuneX,2015,0.03
786,FuRyu Corporation,2015,0.03
903,Happinet,2015,0.03
1810,Shogakukan,2015,0.03
1730,Rondomedia,2015,0.03
760,Focus Multimedia,2015,0.02
209,Asgard,2015,0.02
159,Alternative Software,2015,0.02
597,Devolver Digital,2015,0.02
1255,Marvelous Games,2015,0.02
1666,Prototype,2015,0.02
148,Alawar Entertainment,2015,0.01
1688,Rain Games,2015,0.01
2133,TopWare Interactive,2015,0.01
791,Funbox Media,2015,0.01
1539,Nitroplus,2015,0.01
1377,Minato Station,2015,0.01
