,Publisher,Global_Sales
359,Nintendo,1786.56
138,Electronic Arts,1110.32
21,Activision,727.46
456,Sony Computer Entertainment,607.5
525,Ubisoft,474.72
494,Take-Two Interactive,399.54
488,THQ,340.77
275,Konami Digital Entertainment,283.64
446,Sega,272.99
347,Namco Bandai Games,254.09
323,Microsoft Game Studios,245.79
85,Capcom,200.89
53,Atari,157.22
549,Warner Bros. Interactive Entertainment,153.89000000000001
465,Square Enix,145.18
126,Disney Interactive Studios,119.96000000000001
137,Eidos Interactive,98.98
288,LucasArts,87.34
66,Bethesda Softworks,82.14
325,Midway Games,69.85
17,Acclaim Entertainment,64.14
545,Vivendi Games,58.21
466,SquareSoft,57.65
6,505 Games,55.91
500,Tecmo Koei,53.55
91,Codemasters,47.87
542,Virgin Interactive,43.87
530,Unknown,34.66
144,Enix Corporation,33.74
120,Deep Silver,25.67
177,GT Interactive,25.23
109,D3Publisher,24.13
458,Sony Computer Entertainment Europe,23.89
224,Hudson Soft,23.01
292,MTV Games,20.97
529,Universal Interactive,17.77
63,Banpresto,17.4
430,Rising Star Games,17.31
241,Infogrames,16.34
296,Majesco Entertainment,16.08
214,Hasbro Interactive,15.22
362,Nippon Ichi Software,14.28
10,989 Studios,13.32
566,Zoo Digital Publishing,12.87
55,Atlus,12.74
281,Level 5,12.17
142,Empire Interactive,11.29
13,ASCII Entertainment,10.89
4,3DO,10.120000000000001
101,Crave Entertainment,9.93
426,RedOctane,8.68
486,TDK Mediactive,8.31
330,Mindscape,7.74
198,Global Star,7.65
160,Focus Home Interactive,7.51
164,Fox Interactive,7.39
413,Psygnosis,7.27
23,Activision Value,6.96
232,Ignition Entertainment,6.82
246,Interplay,6.66
461,SouthPeak Games,6.35
462,Spike,6.15
424,Red Orb,5.24
391,Parker Bros.,4.970000000000001
512,Tomy Corporation,4.97
60,BAM! Entertainment,4.95
567,Zoo Games,4.82
237,Imagic,4.82
40,Arena Entertainment,4.72
273,Koch Media,4.71
88,City Interactive,4.61
526,Ubisoft Annecy,4.46
367,Nordic Games,4.44
122,Destineer,4.36
400,Play It,4.3100000000000005
381,PQube,4.27
301,Marvelous Interactive,4.17
385,Palcom,4.17
87,ChunSoft,4.07
230,Idea Factory,4.0200000000000005
182,Game Factory,3.79
263,Kadokawa Shoten,3.77
199,Gotham Games,3.72
348,Natsume,3.69
176,GSP,3.69
463,Square,3.64
372,Ocean,3.61
112,DTP Entertainment,3.59
460,Sony Online Entertainment,3.5300000000000002
436,SCi,3.52
305,Mattel Interactive,3.5100000000000002
378,Oxygen Interactive,3.46
492,Takara,3.45
308,Maxis,3.39
509,Titus,3.32
70,Black Bean Games,3.29
534,Valve Software,3.23
206,GungHo,3.15
94,Coleco,3.06
225,Human Entertainment,3.0
57,Avanquest,3.0
443,Scholastic Inc.,2.91
334,Mojang,2.89
491,Taito,2.84
253,JVC,2.8
193,Ghostlight,2.79
441,Sammy Corporation,2.73
502,Telltale Games,2.72
324,Midas Interactive Entertainment,2.72
493,Takara Tomy,2.7
238,Imagineer,2.65
30,Alchemist,2.63
437,SNK,2.5900000000000003
343,NCSoft,2.59
433,Rondomedia,2.58
97,Compile,2.46
265,Kalypso Media,2.45
299,Marvelous Entertainment,2.33
425,Red Storm Entertainment,2.32
522,UEP Systems,2.25
304,Mastiff,2.23
146,Enterbrain,2.23
269,Kemco,2.22
539,Video System,2.18
286,Little Orbit,2.04
12,ASC Games,2.02
322,Microprose,2.02
419,RTL,2.0
473,Success,1.96
27,Agetec,1.9400000000000002
2,20th Century Fox Video Games,1.9400000000000002
365,Nobilis,1.94
255,Jaleco,1.94
568,Zushi Games,1.89
318,Metro 3D,1.84
432,Rocket Company,1.82
482,System 3 Arcade Software,1.8
533,Valve,1.74
303,Mastertronic,1.73
104,Crystal Dynamics,1.71
223,Hudson Entertainment,1.69
58,Avanquest Software,1.69
18,Accolade,1.6800000000000002
558,Xplosiv,1.6400000000000001
165,From Software,1.6300000000000001
7,5pb,1.6300000000000001
219,Hello Games,1.6
514,Touchstone,1.58
407,PopCap Games,1.57
471,Storm City Games,1.56
277,LEGO Media,1.56
552,Westwood Studios,1.55
279,Laguna,1.55
257,JoWood Productions,1.49
39,Arc System Works,1.48
272,Knowledge Adventure,1.47
191,Genki,1.46
555,XS Games,1.46
507,Tigervision,1.42
420,Rage Software,1.42
398,Pinnacle,1.42
